Uncleaned Order Data
//ord_09004//Tanvi Gupta-161BTM Layout//Anil Gupta*Burger+1+/7/1/2023//Online Payment//Delivered+On Time Delivery
"//ord_15001//Deepak Sharma-197HSR Layout//Manoj Singh*Butter Naan+4+/10/8/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_57166//Kriti Patel-227Whitefield//Not Assigned*Chicken Fried Rice+2+/5/13/2023//Credit Card//Cancelled+Payment Issues
//ord_57265//Arjun Shah-155MG Road//Rajesh Kumar*Paneer Tikka+1+/12/18/2023//Credit Card//Cancelled+Delayed Delivery
//ord_57364//Raj Kapoor-218Malleswaram//Divya Patel*Chicken Curry+2+/7/21/2023//Online Payment//Cancelled+Change in Plans
//ord_57463//Aryan Shah-113Jayanagar//Not Assigned*Hakka Noodles+1+/3/25/2023//UPI//Cancelled+Payment Issues
"//ord_57562//Naveen Kumar-265Koramangala//Sneha Verma*Noodles+1+/2/24/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_57661//Priya Singh-199Brigade Road//Ravi Tiwari*Chicken Biryani+2+/8/19/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_57760//Nisha Gupta-116Koramangala//Manoj Singh*Tandoori Chicken+3+/9/18/2023//UPI//Delivered+Good Service
"//ord_57859//Pooja Patel-221BTM Layout//Rajesh Kumar*Burger+1+/6/29/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_57958//Karan Sharma-216Marathahalli//Anil Gupta*Butter Chicken+3+/5/21/2023//Online Payment//Cancelled+Change in Plans
"//ord_58057//Neha Patel-104Whitefield//Manoj Singh*Chicken Fried Rice+4+/1/24/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_58156//Karan Sharma-216Marathahalli//Pooja Sharma*Pasta+2+/2/17/2023//UPI//Delivered+Good Service
"//ord_58255//Anjali Jain-288Malleswaram//Ananya Reddy*Butter Chicken+3+/10/10/2023//COD//Delivered+Fast delivery, fresh food"
"//ord_58354//Tanvi Gupta-161BTM Layout//Divya Patel*Samosa+5+/10/12/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_58453//Rahul Sharma-215MG Road//Anil Gupta*Samosa+5+/3/10/2023//UPI//Delivered+Good Service
//ord_58552//Anjali Jain-288Malleswaram//Siddharth Singh*Fish Biryani+2+/8/4/2023//UPI//Delivered+Good Service
//ord_58651//Kriti Patel-227Whitefield//Ananya Reddy*Chicken Tikka+1+/12/15/2023//Credit Card//Delivered+On Time Delivery
//ord_58750//Sneha Jain-226HSR Layout//Pooja Sharma*Noodles+1+/10/17/2023//Online Payment//Delivered+On Time Delivery
"//ord_58849//Rohan Patel-234Indiranagar//Pooja Sharma*Chicken Fried Rice+2+/11/2/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_58948//Aryan Shah-113Jayanagar//Siddharth Singh*Masala Dosa+1+/5/29/2023//Credit Card//Delivered+Good Service
//ord_59047//Nirmal Raj-169MG Road//Anil Gupta*Fish Biryani+2+/8/16/2023//Online Payment//Delivered+Good Service
"//ord_59146//Tanvi Gupta-161BTM Layout//Rajesh Kumar*Pav Bhaji+2+/4/3/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_59245//Rohan Patel-234Indiranagar//Pooja Sharma*Pizza+3+/1/10/2023//Online Payment//Delivered+On Time Delivery
"//ord_59344//Kriti Patel-227Whitefield//Siddharth Singh*Pasta+2+/4/10/2023//UPI//Delivered+Fast delivery, fresh food"
"//ord_59443//Deepak Sharma-197HSR Layout//Ananya Reddy*Butter Chicken+3+/10/25/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_59542//Anjali Jain-288Malleswaram//Ravi Tiwari*Pav Bhaji+2+/11/10/2023//COD//Delivered+Good Service
//ord_59641//Priyanka Singh-242Koramangala//Not Assigned*Tandoori Chicken+3+/3/30/2023//Credit Card//Cancelled+Payment Issues
//ord_59740//Karan Sharma-216Marathahalli//Anil Gupta*Butter Naan+4+/1/24/2023//Online Payment//Delivered+On Time Delivery
//ord_59839//Karan Sharma-216Marathahalli//Anil Gupta*Paneer Tikka+2+/7/30/2023//COD//Delivered+Good Service
//ord_59938//Karan Sharma-216Marathahalli//Rajesh Kumar*Fish Curry+2+/8/20/2023//COD//Delivered+On Time Delivery
"//ord_60037//Kriti Patel-227Whitefield//Rajesh Kumar*Noodles+1+/2/14/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_60136//Neha Patel-104Whitefield//Manoj Singh*Samosa+5+/8/16/2023//Credit Card//Delivered+Good Service
//ord_60235//Sneha Jain-226HSR Layout//Manoj Singh*Fish Biryani+2+/11/14/2023//Credit Card//Delivered+Good Service
//ord_60334//Kriti Patel-227Whitefield//Pooja Sharma*Pizza+3+/6/27/2023//Credit Card//Cancelled+Delayed Delivery
//ord_60433//Raj Kapoor-218Malleswaram//Not Assigned*Noodles+1+/8/19/2023//Online Payment//Cancelled+App Glitch
//ord_60532//Shreya Singh-268Marathahalli//Not Assigned*Butter Chicken+3+/2/25/2023//Credit Card//Cancelled+Payment Issues
//ord_60631//Pooja Patel-221BTM Layout//Sneha Verma*Fish Biryani+2+/12/9/2023//Credit Card//Delivered+Good Service
"//ord_60730//Kriti Patel-227Whitefield//Pooja Sharma*Butter Naan+4+/5/17/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_60829//Pooja Patel-221BTM Layout//Anil Gupta*Sushi+1+/1/12/2023//Credit Card//Delivered+On Time Delivery
//ord_60928//Priyanka Singh-242Koramangala//Divya Patel*Hakka Noodles+1+/5/19/2023//UPI//Delivered+Good Service
"//ord_61027//Raj Kapoor-218Malleswaram//Sneha Verma*Chicken Tikka+1+/9/20/2023//COD//Delivered+Fast delivery, fresh food"
"//ord_61126//Priyanka Singh-242Koramangala//Ravi Tiwari*Masala Dosa+1+/9/21/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_61225//Anjali Jain-288Malleswaram//Not Assigned*Chicken Curry+2+/11/27/2023//Credit Card//Cancelled+High Delivery Fees
//ord_61324//Nisha Gupta-116Koramangala//Siddharth Singh*Chicken Tikka+1+/8/1/2023//Online Payment//Cancelled+Delayed Delivery
//ord_61423//Tanvi Gupta-161BTM Layout//Ravi Tiwari*Paneer Tikka+1+/3/15/2023//Credit Card//Delivered+Good Service
//ord_61522//Priyanka Singh-242Koramangala//Not Assigned*Chicken Biryani+2+/3/12/2023//Credit Card//Cancelled+Payment Issues
//ord_61621//Deepak Sharma-197HSR Layout//Not Assigned*Fish Curry+1+/11/12/2023//Credit Card//Cancelled+Out of Stock
//ord_61720//Aryan Shah-113Jayanagar//Sneha Verma*Chicken Curry+2+/11/14/2023//COD//Delivered+On Time Delivery
"//ord_61819//Pooja Patel-221BTM Layout//Pooja Sharma*Fish Curry+1+/7/27/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_61918//Priya Singh-199Brigade Road//Siddharth Singh*Chicken Curry+2+/11/27/2023//COD//Delivered+Good Service
//ord_62017//Naveen Kumar-265Koramangala//Not Assigned*Burger+2+/11/4/2023//UPI//Cancelled+App Glitch
//ord_62116//Anjali Jain-288Malleswaram//Divya Patel*Butter Chicken+3+/4/5/2023//COD//Delivered+On Time Delivery
//ord_62215//Pooja Patel-221BTM Layout//Siddharth Singh*Hakka Noodles+1+/5/5/2023//Credit Card//Cancelled+Change in Plans
//ord_62314//Raj Kapoor-218Malleswaram//Not Assigned*Chicken Biryani+2+/7/19/2023//Online Payment//Cancelled+Payment Issues
//ord_62413//Priya Singh-199Brigade Road//Anil Gupta*Chicken Tikka+1+/8/4/2023//Credit Card//Cancelled+Delayed Delivery
//ord_62512//Anjali Jain-288Malleswaram//Sneha Verma*Butter Naan+4+/1/17/2023//UPI//Cancelled+Delayed Delivery
"//ord_62611//Kriti Patel-227Whitefield//Anil Gupta*Noodles+1+/12/10/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_62710//Naveen Kumar-265Koramangala//Not Assigned*Chicken Fried Rice+2+/9/23/2023//Credit Card//Cancelled+Payment Issues
//ord_62809//Neha Patel-104Whitefield//Not Assigned*Butter Chicken+3+/5/4/2023//Online Payment//Cancelled+Payment Issues
//ord_62908//Rahul Sharma-215MG Road//Sneha Verma*Pasta+2+/6/9/2023//Credit Card//Delivered+Good Service
//ord_63007//Anjali Jain-288Malleswaram//Pooja Sharma*Hakka Noodles+1+/2/25/2023//COD//Delivered+Good Service
"//ord_63106//Nisha Gupta-116Koramangala//Manoj Singh*Burger+1+/11/27/2023//Credit Card//Delivered+Fast delivery, fresh food"
"//ord_63205//Akash Gupta-281Jayanagar//Manoj Singh*Chicken Fried Rice+2+/3/10/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_63304//Shreya Singh-268Marathahalli//Ananya Reddy*Fish Curry+1+/4/1/2023//Credit Card//Delivered+Good Service
//ord_63403//Rahul Sharma-215MG Road//Anil Gupta*Chicken Biryani+2+/3/15/2023//UPI//Cancelled+Delayed Delivery
//ord_63502//Sneha Jain-226HSR Layout//Pooja Sharma*Tandoori Chicken+3+/4/2/2023//Credit Card//Delivered+On Time Delivery
//ord_63601//Shreya Singh-268Marathahalli//Pooja Sharma*Chicken Fried Rice+2+/7/27/2023//UPI//Delivered+On Time Delivery
"//ord_63700//Tanvi Gupta-161BTM Layout//Ananya Reddy*Burger+1+/5/14/2023//COD//Delivered+Fast delivery, fresh food"
//ord_63799//Karan Sharma-216Marathahalli//Divya Patel*Chicken Fried Rice+4+/12/3/2023//COD//Delivered+Good Service
//ord_63898//Tanvi Gupta-161BTM Layout//Anil Gupta*Fish Curry+1+/2/8/2023//UPI//Delivered+Good Service
//ord_63997//Aryan Shah-113Jayanagar//Ravi Tiwari*Chicken Biryani+2+/4/21/2023//UPI//Delivered+Good Service
//ord_64096//Akash Gupta-281Jayanagar//Siddharth Singh*Butter Naan+4+/4/15/2023//UPI//Delivered+On Time Delivery
"//ord_64195//Kriti Patel-227Whitefield//Sneha Verma*Masala Dosa+1+/9/17/2023//COD//Delivered+Fast delivery, fresh food"
//ord_64294//Priya Singh-199Brigade Road//Ravi Tiwari*Pasta+2+/11/1/2023//Online Payment//Delivered+Good Service
//ord_64393//Neha Patel-104Whitefield//Ravi Tiwari*Burger+1+/11/17/2023//UPI//Delivered+Good Service
"//ord_64492//Karan Sharma-216Marathahalli//Siddharth Singh*Sushi+2+/1/30/2023//UPI//Delivered+Fast delivery, fresh food"
"//ord_64591//Kriti Patel-227Whitefield//Manoj Singh*Tandoori Chicken+3+/2/28/2023//COD//Delivered+Fast delivery, fresh food"
//ord_64690//Raj Kapoor-218Malleswaram//Ravi Tiwari*Tandoori Chicken+3+/7/8/2023//Credit Card//Delivered+On Time Delivery
//ord_64789//Shreya Singh-268Marathahalli//Sneha Verma*Tandoori Chicken+3+/11/19/2023//UPI//Delivered+Good Service
//ord_64888//Naveen Kumar-265Koramangala//Not Assigned*Butter Chicken+3+/12/7/2023//UPI//Cancelled+High Delivery Fees
"//ord_64987//Priyanka Singh-242Koramangala//Ravi Tiwari*Sushi+1+/3/27/2023//COD//Delivered+Fast delivery, fresh food"
//ord_65086//Deepak Sharma-197HSR Layout//Sneha Verma*Fish Curry+1+/2/20/2023//Online Payment//Delivered+Good Service
//ord_65185//Arjun Shah-155MG Road//Not Assigned*Masala Dosa+1+/3/14/2023//Credit Card//Cancelled+High Delivery Fees
"//ord_65284//Raj Kapoor-218Malleswaram//Ananya Reddy*Butter Naan+4+/5/14/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_65383//Kriti Patel-227Whitefield//Anil Gupta*Chicken Biryani+2+/1/13/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_65482//Aryan Shah-113Jayanagar//Siddharth Singh*Butter Chicken+3+/10/19/2023//COD//Delivered+Good Service
//ord_65581//Deepak Sharma-197HSR Layout//Divya Patel*Chicken Tikka+1+/10/3/2023//Online Payment//Delivered+On Time Delivery
//ord_65680//Raj Kapoor-218Malleswaram//Siddharth Singh*Sushi+1+/12/7/2023//UPI//Delivered+Good Service
//ord_65779//Tanvi Gupta-161BTM Layout//Ananya Reddy*Fish Curry+1+/9/10/2023//COD//Delivered+Good Service
//ord_65878//Naveen Kumar-265Koramangala//Rajesh Kumar*Masala Dosa+3+/7/1/2023//Credit Card//Delivered+Good Service
"//ord_65977//Aryan Shah-113Jayanagar//Divya Patel*Chicken Biryani+2+/9/28/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_66076//Shreya Singh-268Marathahalli//Ravi Tiwari*Chicken Curry+2+/11/20/2023//Credit Card//Delivered+On Time Delivery
"//ord_66175//Akash Gupta-281Jayanagar//Manoj Singh*Hakka Noodles+1+/5/12/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_66274//Rohit Singh-165Indiranagar//Anil Gupta*Noodles+1+/10/13/2023//Credit Card//Delivered+Good Service
//ord_66373//Nirmal Raj-169MG Road//Ravi Tiwari*Veg Biryani+3+/9/10/2023//Credit Card//Delivered+Good Service
"//ord_66472//Kriti Patel-227Whitefield//Ananya Reddy*Butter Chicken+3+/2/22/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_66571//Raj Kapoor-218Malleswaram//Ananya Reddy*Fish Curry+1+/7/8/2023//Credit Card//Delivered+On Time Delivery
//ord_66670//Priyanka Singh-242Koramangala//Not Assigned*Tandoori Chicken+3+/9/17/2023//Credit Card//Cancelled+App Glitch
"//ord_66769//Anjali Jain-288Malleswaram//Divya Patel*Burger+1+/12/4/2023//Credit Card//Delivered+Fast delivery, fresh food"
"//ord_66868//Pooja Patel-221BTM Layout//Anil Gupta*Pizza+3+/12/8/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_66967//Nisha Gupta-116Koramangala//Not Assigned*Burger+1+/3/9/2023//UPI//Cancelled+App Glitch
//ord_67066//Nisha Gupta-116Koramangala//Ravi Tiwari*Butter Naan+4+/2/18/2023//Online Payment//Cancelled+Change in Plans
//ord_67165//Priya Singh-199Brigade Road//Rajesh Kumar*Burger+1+/1/17/2023//COD//Delivered+Good Service
"//ord_67264//Pooja Patel-221BTM Layout//Sneha Verma*Pizza+3+/6/3/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_67363//Pooja Patel-221BTM Layout//Pooja Sharma*Masala Dosa+1+/10/7/2023//Online Payment//Delivered+On Time Delivery
//ord_67462//Rahul Sharma-215MG Road//Pooja Sharma*Sushi+1+/7/11/2023//Credit Card//Cancelled+Delayed Delivery
//ord_67561//Shreya Singh-268Marathahalli//Ravi Tiwari*Veg Biryani+2+/2/23/2023//COD//Delivered+Good Service
//ord_67660//Naveen Kumar-265Koramangala//Not Assigned*Fish Curry+1+/3/3/2023//UPI//Cancelled+High Delivery Fees
//ord_67759//Rohan Patel-234Indiranagar//Sneha Verma*Sushi+1+/5/18/2023//Credit Card//Delivered+On Time Delivery
//ord_67858//Arjun Shah-155MG Road//Sneha Verma*Fish Curry+1+/9/28/2023//UPI//Delivered+On Time Delivery
//ord_67957//Priyanka Singh-242Koramangala//Ravi Tiwari*Samosa+5+/7/27/2023//Credit Card//Cancelled+Delayed Delivery
"//ord_68056//Rahul Sharma-215MG Road//Pooja Sharma*Paneer Tikka+1+/3/5/2023//UPI//Delivered+Fast delivery, fresh food"
"//ord_68155//Karan Sharma-216Marathahalli//Ananya Reddy*Fish Curry+2+/10/12/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_68254//Pooja Patel-221BTM Layout//Siddharth Singh*Pizza+3+/6/19/2023//Credit Card//Delivered+Good Service
"//ord_68353//Shreya Singh-268Marathahalli//Sneha Verma*Pizza+3+/9/5/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_68452//Priya Singh-199Brigade Road//Ananya Reddy*Burger+1+/5/31/2023//Credit Card//Delivered+On Time Delivery
"//ord_68551//Neha Patel-104Whitefield//Pooja Sharma*Fish Curry+1+/10/16/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_68650//Neha Patel-104Whitefield//Manoj Singh*Paneer Tikka+1+/12/7/2023//UPI//Delivered+Good Service
//ord_68749//Rohit Singh-165Indiranagar//Siddharth Singh*Paneer Tikka+1+/7/15/2023//Credit Card//Delivered+On Time Delivery
//ord_68848//Akash Gupta-281Jayanagar//Sneha Verma*Sushi+2+/7/11/2023//UPI//Delivered+On Time Delivery
"//ord_68947//Neha Patel-104Whitefield//Manoj Singh*Pav Bhaji+2+/3/15/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_69046//Kriti Patel-227Whitefield//Divya Patel*Chicken Fried Rice+2+/8/15/2023//COD//Delivered+Good Service
//ord_69145//Neha Patel-104Whitefield//Anil Gupta*Paneer Tikka+1+/4/3/2023//Online Payment//Delivered+Good Service
"//ord_69244//Pooja Patel-221BTM Layout//Ravi Tiwari*Paneer Tikka+1+/7/12/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_69343//Priya Singh-199Brigade Road//Pooja Sharma*Veg Biryani+2+/10/31/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_69442//Deepak Sharma-197HSR Layout//Ananya Reddy*Fish Biryani+2+/2/19/2023//COD//Delivered+On Time Delivery
//ord_69541//Rahul Sharma-215MG Road//Not Assigned*Noodles+1+/12/1/2023//Online Payment//Cancelled+App Glitch
"//ord_69640//Kriti Patel-227Whitefield//Ananya Reddy*Butter Chicken+3+/10/12/2023//COD//Delivered+Fast delivery, fresh food"
"//ord_69739//Deepak Sharma-197HSR Layout//Manoj Singh*Butter Chicken+3+/12/24/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_69838//Kriti Patel-227Whitefield//Ravi Tiwari*Pizza+3+/7/29/2023//COD//Delivered+On Time Delivery
//ord_69937//Tanvi Gupta-161BTM Layout//Divya Patel*Pav Bhaji+2+/3/16/2023//Online Payment//Delivered+Good Service
//ord_70036//Anjali Jain-288Malleswaram//Divya Patel*Chicken Fried Rice+2+/4/8/2023//COD//Delivered+Good Service
//ord_70135//Priyanka Singh-242Koramangala//Rajesh Kumar*Burger+1+/4/14/2023//UPI//Cancelled+Delayed Delivery
//ord_70234//Shreya Singh-268Marathahalli//Rajesh Kumar*Chicken Biryani+2+/6/7/2023//UPI//Delivered+Good Service
//ord_70333//Pooja Patel-221BTM Layout//Divya Patel*Butter Chicken+3+/8/8/2023//Online Payment//Delivered+On Time Delivery
"//ord_70432//Aryan Shah-113Jayanagar//Divya Patel*Pizza+3+/9/18/2023//UPI//Delivered+Fast delivery, fresh food"
"//ord_70531//Rahul Sharma-215MG Road//Manoj Singh*Pasta+2+/4/5/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_70630//Sneha Jain-226HSR Layout//Sneha Verma*Paneer Tikka+1+/9/28/2023//COD//Delivered+Good Service
//ord_70729//Rohit Singh-165Indiranagar//Rajesh Kumar*Chicken Biryani+2+/12/29/2023//COD//Delivered+Good Service
//ord_70828//Karan Sharma-216Marathahalli//Ananya Reddy*Samosa+5+/10/7/2023//COD//Delivered+On Time Delivery
"//ord_70927//Naveen Kumar-265Koramangala//Rajesh Kumar*Pasta+2+/8/14/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_71026//Rohit Singh-165Indiranagar//Not Assigned*Hakka Noodles+1+/11/1/2023//Credit Card//Cancelled+Out of Stock
//ord_71125//Aryan Shah-113Jayanagar//Not Assigned*Fish Curry+1+/5/27/2023//Credit Card//Cancelled+High Delivery Fees
//ord_71224//Neha Patel-104Whitefield//Not Assigned*Samosa+5+/3/2/2023//UPI//Cancelled+App Glitch
//ord_71323//Rohit Singh-165Indiranagar//Manoj Singh*Chicken Curry+2+/11/15/2023//Credit Card//Delivered+On Time Delivery
//ord_71422//Arjun Shah-155MG Road//Anil Gupta*Chicken Biryani+2+/9/19/2023//Online Payment//Cancelled+Change in Plans
"//ord_71521//Sneha Jain-226HSR Layout//Ananya Reddy*Chicken Curry+2+/11/28/2023//COD//Delivered+Fast delivery, fresh food"
//ord_71620//Kriti Patel-227Whitefield//Siddharth Singh*Fish Biryani+2+/11/24/2023//UPI//Delivered+Good Service
//ord_71719//Deepak Sharma-197HSR Layout//Not Assigned*Samosa+5+/2/7/2023//UPI//Cancelled+Out of Stock
//ord_71818//Tanvi Gupta-161BTM Layout//Manoj Singh*Chicken Biryani+6+/2/12/2023//Credit Card//Delivered+Good Service
"//ord_71917//Priyanka Singh-242Koramangala//Siddharth Singh*Noodles+1+/3/6/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_72016//Tanvi Gupta-161BTM Layout//Sneha Verma*Samosa+5+/10/22/2023//UPI//Delivered+Good Service
//ord_72115//Neha Patel-104Whitefield//Not Assigned*Chicken Fried Rice+2+/6/28/2023//Credit Card//Cancelled+App Glitch
//ord_72214//Pooja Patel-221BTM Layout//Siddharth Singh*Chicken Curry+2+/8/4/2023//Credit Card//Delivered+Good Service
//ord_72313//Kriti Patel-227Whitefield//Rajesh Kumar*Paneer Tikka+1+/4/28/2023//Credit Card//Cancelled+Change in Plans
//ord_72412//Rohan Patel-234Indiranagar//Rajesh Kumar*Chicken Fried Rice+2+/5/18/2023//Credit Card//Cancelled+Change in Plans
//ord_72511//Rahul Sharma-215MG Road//Not Assigned*Sushi+1+/10/4/2023//Credit Card//Cancelled+App Glitch
//ord_72610//Shreya Singh-268Marathahalli//Manoj Singh*Hakka Noodles+2+/3/8/2023//Online Payment//Delivered+Good Service
//ord_72709//Nisha Gupta-116Koramangala//Not Assigned*Hakka Noodles+1+/7/12/2023//Credit Card//Cancelled+Payment Issues
//ord_72808//Arjun Shah-155MG Road//Anil Gupta*Butter Chicken+3+/10/5/2023//COD//Delivered+Good Service
//ord_72907//Kriti Patel-227Whitefield//Not Assigned*Pav Bhaji+2+/2/15/2023//UPI//Cancelled+Out of Stock
//ord_73006//Pooja Patel-221BTM Layout//Ravi Tiwari*Chicken Tikka+1+/6/22/2023//UPI//Delivered+Good Service
//ord_73105//Priya Singh-199Brigade Road//Pooja Sharma*Sushi+1+/7/4/2023//UPI//Delivered+Good Service
//ord_73204//Tanvi Gupta-161BTM Layout//Anil Gupta*Tandoori Chicken+3+/1/24/2023//UPI//Delivered+Good Service
//ord_73303//Priya Singh-199Brigade Road//Not Assigned*Sushi+1+/8/11/2023//Credit Card//Cancelled+Payment Issues
//ord_73402//Arjun Shah-155MG Road//Pooja Sharma*Chicken Fried Rice+2+/1/2/2023//UPI//Cancelled+Delayed Delivery
"//ord_73501//Tanvi Gupta-161BTM Layout//Ravi Tiwari*Pizza+3+/12/26/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_73600//Priyanka Singh-242Koramangala//Siddharth Singh*Tandoori Chicken+3+/12/2/2023//Credit Card//Cancelled+Delayed Delivery
//ord_73699//Kriti Patel-227Whitefield//Pooja Sharma*Paneer Tikka+1+/8/10/2023//Online Payment//Delivered+On Time Delivery
"//ord_73798//Priya Singh-199Brigade Road//Anil Gupta*Chicken Biryani+2+/1/21/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_73897//Karan Sharma-216Marathahalli//Not Assigned*Pav Bhaji+2+/11/23/2023//Credit Card//Cancelled+Payment Issues
//ord_73996//Rohan Patel-234Indiranagar//Divya Patel*Pizza+3+/7/14/2023//Credit Card//Cancelled+Delayed Delivery
//ord_74095//Pooja Patel-221BTM Layout//Rajesh Kumar*Fish Biryani+2+/12/9/2023//Online Payment//Delivered+Good Service
"//ord_74194//Neha Patel-104Whitefield//Siddharth Singh*Paneer Tikka+1+/5/4/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_74293//Kriti Patel-227Whitefield//Rajesh Kumar*Paneer Tikka+1+/12/31/2023//Credit Card//Cancelled+Delayed Delivery
//ord_74392//Arjun Shah-155MG Road//Sneha Verma*Noodles+1+/3/23/2023//Credit Card//Cancelled+Delayed Delivery
"//ord_74491//Neha Patel-104Whitefield//Ravi Tiwari*Noodles+1+/1/31/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_74590//Kriti Patel-227Whitefield//Not Assigned*Hakka Noodles+1+/6/1/2023//Online Payment//Cancelled+Out of Stock
"//ord_74689//Priya Singh-199Brigade Road//Rajesh Kumar*Pizza+3+/9/29/2023//Credit Card//Delivered+Fast delivery, fresh food"
"//ord_74788//Shreya Singh-268Marathahalli//Rajesh Kumar*Pav Bhaji+2+/7/10/2023//COD//Delivered+Fast delivery, fresh food"
//ord_74887//Karan Sharma-216Marathahalli//Ravi Tiwari*Fish Curry+2+/4/3/2023//COD//Delivered+On Time Delivery
//ord_74986//Tanvi Gupta-161BTM Layout//Ravi Tiwari*Chicken Fried Rice+6+/3/23/2023//UPI//Cancelled+Delayed Delivery
//ord_75085//Rahul Sharma-215MG Road//Not Assigned*Sushi+1+/2/11/2023//Credit Card//Cancelled+Payment Issues
//ord_75184//Priyanka Singh-242Koramangala//Manoj Singh*Chicken Tikka+1+/6/16/2023//UPI//Cancelled+Delayed Delivery
"//ord_75283//Aryan Shah-113Jayanagar//Rajesh Kumar*Samosa+5+/7/28/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_75382//Karan Sharma-216Marathahalli//Ananya Reddy*Veg Biryani+2+/2/15/2023//COD//Delivered+Good Service
//ord_75481//Raj Kapoor-218Malleswaram//Rajesh Kumar*Samosa+5+/7/27/2023//COD//Delivered+Good Service
"//ord_75580//Anjali Jain-288Malleswaram//Anil Gupta*Pizza+3+/7/6/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_75679//Sneha Jain-226HSR Layout//Pooja Sharma*Chicken Tikka+1+/9/3/2023//COD//Delivered+Good Service
//ord_75778//Deepak Sharma-197HSR Layout//Not Assigned*Fish Curry+1+/6/3/2023//Credit Card//Cancelled+High Delivery Fees
//ord_75877//Karan Sharma-216Marathahalli//Ananya Reddy*Burger+2+/7/23/2023//UPI//Cancelled+Delayed Delivery
//ord_75976//Pooja Patel-221BTM Layout//Anil Gupta*Chicken Curry+2+/3/1/2023//Online Payment//Cancelled+Delayed Delivery
//ord_76075//Karan Sharma-216Marathahalli//Anil Gupta*Tandoori Chicken+3+/12/31/2023//Online Payment//Delivered+On Time Delivery
//ord_76174//Arjun Shah-155MG Road//Siddharth Singh*Chicken Tikka+1+/4/25/2023//Online Payment//Cancelled+Delayed Delivery
//ord_76273//Rohan Patel-234Indiranagar//Ravi Tiwari*Tandoori Chicken+3+/10/30/2023//Credit Card//Cancelled+Change in Plans
"//ord_76372//Aryan Shah-113Jayanagar//Ananya Reddy*Paneer Tikka+1+/9/7/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_76471//Naveen Kumar-265Koramangala//Ananya Reddy*Noodles+1+/4/1/2023//UPI//Cancelled+Delayed Delivery
"//ord_76570//Rohit Singh-165Indiranagar//Divya Patel*Sushi+1+/11/29/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_76669//Naveen Kumar-265Koramangala//Siddharth Singh*Pav Bhaji+2+/1/23/2023//UPI//Cancelled+Delayed Delivery
"//ord_76768//Karan Sharma-216Marathahalli//Ananya Reddy*Butter Naan+4+/8/26/2023//COD//Delivered+Fast delivery, fresh food"
//ord_76867//Sneha Jain-226HSR Layout//Divya Patel*Hakka Noodles+1+/11/20/2023//Credit Card//Delivered+Good Service
//ord_76966//Nisha Gupta-116Koramangala//Ananya Reddy*Pasta+2+/1/31/2023//Online Payment//Cancelled+Delayed Delivery
//ord_77065//Aryan Shah-113Jayanagar//Sneha Verma*Butter Naan+4+/9/20/2023//Credit Card//Cancelled+Delayed Delivery
//ord_77164//Sneha Jain-226HSR Layout//Ravi Tiwari*Sushi+1+/7/13/2023//Credit Card//Delivered+Good Service
//ord_77263//Naveen Kumar-265Koramangala//Siddharth Singh*Pasta+2+/12/25/2023//Credit Card//Cancelled+Delayed Delivery
